Percent,Real_Goal,Time,Cost,Prob,Results
30,6,478721738,1295/1295/24182/111433/209/111433/272/20/,4.286121526440085E-27/4.286121526440085E-27/0.0/0.0/1.2339381792196387E-4/0.0/6.1434164490525704E-6/0.999870462765629/,7/
50,0,325871036,23/95/464/31/95/128/464/19/464/128/,0.33819599577402215/0.00924077352131511/8.973774153971704E-11/0.22669955545631143/0.00924077352131511/0.0017746897103536506/8.973774153971704E-11/0.41307352203711584/8.973774153971704E-11/0.0017746897103536506/,7/
50,0,210374867,39/1801/1801/96/1801/1801/1801/273/1801/1801/,0.8042539485384832/5.952799758886857E-20/5.952799758886857E-20/0.19342988119223162/5.952799758886857E-20/5.952799758886857E-20/5.952799758886857E-20/0.0023161702692851218/5.952799758886857E-20/5.952799758886857E-20/,0/
50,0,218756287,35/7110/7110/96/7110/1801/7110/31/7110/1801/,0.43825334969531143/4.1872571797980467E-97/4.1872571797980467E-97/0.06514054504609158/4.1872571797980467E-97/4.721701457783371E-25/4.1872571797980467E-97/0.496606105258597/4.1872571797980467E-97/4.721701457783371E-25/,7/
50,1,354999826,506530/19/506530/31/24302/18/24302/1547/1047/24302/,0.0/0.38672859269661447/0.0/0.205643520911667/0.0/0.40762788639171854/0.0/4.581280633576841E-36/1.2296713408458949E-24/0.0/,1/5/
50,1,347267117,1047/18/506530/24302/1301/19/1549/5127/24302/1301/,1.548009455725928E-24/0.5131548582061607/0.0/0.0/2.420706376837157E-30/0.48684514179383936/5.191062349493433E-36/8.526052872730027E-118/0.0/2.420706376837157E-30/,1/5/
50,1,341886416,27/24302/128/23/5127/35/6111/39/274/5127/,0.28414520095574924/0.0/0.004225561051064843/0.3356778919148759/1.4654227214933986E-93/0.20359893323407574/2.29028307126884E-111/0.17234277618986937/9.636654364823944E-6/1.4654227214933986E-93/,3/
50,2,246278216,27/16/27/27/18/79/79/27/47/47/,0.12021449379462361/0.22959948444983966/0.12021449379462361/0.12021449379462361/0.2041161838073502/0.005643215719576112/0.005643215719576112/0.12021449379462361/0.03706996256258166/0.03706996256258166/,1/
50,2,243207124,79/79/23/208/270/270/270/79/208/208/,0.07503451326433809/0.07503451326433809/0.7737752973030113/3.4747873313737223E-4/2.6242234854106307E-5/2.6242234854106307E-5/2.6242234854106307E-5/0.07503451326433809/3.4747873313737223E-4/3.4747873313737223E-4/,2/
50,2,194295870,27/27/47/5039/27/47/1033/208/5039/47/,0.2237044840339726/0.2237044840339726/0.1095126643643229/4.0828406369233303E-79/0.2237044840339726/0.1095126643643229/5.573068425199102E-17/3.485548051133756E-4/4.0828406369233303E-79/0.1095126643643229/,0/1/4/
50,3,184015254,5078/334/334/79/334/334/334/5078/334/334/,5.646717764431378E-28/0.03202276720106501/0.03202276720106501/0.7758406295925449/0.03202276720106501/0.03202276720106501/0.03202276720106501/5.646717764431378E-28/0.03202276720106501/0.03202276720106501/,3/
50,3,295081689,209/35/79/1287/63/79/35/47/35/79/,0.001570739317124002/0.1973304519452432/0.05812858400212593/1.553807197359803E-16/0.09065870549232517/0.05812858400212593/0.1973304519452432/0.14139344734844322/0.1973304519452432/0.05812858400212593/,1/6/8/
50,3,293874906,16/1039/79/17/63/79/79/272/271/79/,0.4752439608316929/3.488249092249197E-27/0.011680793608162201/0.4480947674474214/0.02993781483677751/0.011680793608162201/0.011680793608162201/1.3707322916689218E-7/1.4537823042289365E-7/0.011680793608162201/,0/3/
50,0,22366296,19/204/204/204/204/204/204/23/,0.549659715209827/5.282870330041215E-5/5.282870330041215E-5/5.282870330041215E-5/5.282870330041215E-5/5.282870330041215E-5/5.282870330041215E-5/0.4500233125703707/,0/
50,0,19327097,15/15/47/15/16/15/19/15/,0.1459098025212789/0.1459098025212789/0.019746744451215503/0.1459098025212789/0.137069574481024/0.1459098025212789/0.11363466846136604/0.1459098025212789/,0/1/3/4/5/7/
50,0,17220347,47/204/204/204/204/204/204/47/,0.4488635339706589/0.01704548867644699/0.01704548867644699/0.01704548867644699/0.01704548867644699/0.01704548867644699/0.01704548867644699/0.4488635339706589/,0/7/
50,1,19358376,63/47/47/63/1033/63/63/47/,0.1221472915820275/0.1704702778224911/0.1704702778224911/0.1221472915820275/2.0441661223357087E-10/0.1221472915820275/0.1221472915820275/0.1704702778224911/,1/2/7/
50,1,30658749,63/47/79/63/47/47/63/63/,0.11231703937218789/0.15675105569670897/0.08047867542112168/0.11231703937218789/0.15675105569670897/0.15675105569670897/0.11231703937218789/0.11231703937218789/,1/4/5/
50,1,26836430,47/208/208/270/208/208/1033/63/,0.535938212994144/0.018724863010116444/0.018724863010116444/0.005145824179460429/0.018724863010116444/0.018724863010116444/6.426614379126839E-10/0.38401651014326854/,0/
50,2,27179763,23/47/63/79/47/47/208/27/,0.3089836990339562/0.11366875053169695/0.058359482422018244/0.02996275733334581/0.11366875053169695/0.11366875053169695/1.387550942433018E-4/0.26154905452134564/,0/
50,2,24521701,270/208/270/270/208/208/63/270/,0.02681364474935285/0.07064454470670851/0.02681364474935285/0.02681364474935285/0.07064454470670851/0.07064454470670851/0.6808117868824631/0.02681364474935285/,6/
